2023-12-10 21:39:08,334 werkzeug     WARNING   * Debugger is active!
2023-12-10 21:39:08,337 werkzeug     INFO      * Debugger PIN: 454-969-406
2023-12-10 21:39:26,055 root         INFO     Posting workout to worksheet
2023-12-10 21:39:27,524 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:39:27] "POST /webhook HTTP/1.1" 200 -
2023-12-10 21:39:58,930 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:39:58] "[31m[1mPOST /webhook HTTP/1.1[0m" 4002023-12-10 21:41:38,676 werkzeug     INFO      * Restarting with watchdog (windowsapi)
[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:39:59,893 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:39:59] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:00,080 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:00] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:09,367 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:09] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:09,539 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:09] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:10,280 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:10] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:10,366 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:10] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:10,463 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:10] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:10,535 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:10] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:21,788 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:21] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:21,955 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:21] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:22,238 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:22] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:22,457 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:22] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:24,268 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:24] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:24,470 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:24] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:32,810 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:32] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:40:32,976 werkzeug     INFO     127.0.0.1 - - [10/Dec/2023 21:40:32] "[31m[1mPOST /webhook HTTP/1.1[0m" 400 -
2023-12-10 21:41:37,585 werkzeug     INFO      * Detected change in "c:\\Users\\Colin's PC\\Pictures\\config\\SaintXRowing\\tester.py", reloading
2023-12-10 21:41:37,585 werkzeug     INFO      * Detected change in "c:\\Users\\Colin's PC\\Pictures\\config\\SaintXRowing\\webhook.py", reloading
2023-12-10 21:41:38,323 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\httpx\\__init__.py', reloading
2023-12-10 21:41:38,345 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\httpx\\_api.py', reloading
2023-12-10 21:41:38,353 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\httpx\\_auth.py', reloading
2023-12-10 21:41:38,362 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\httpx\\_client.py', reloading
2023-12-10 21:41:38,368 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\httpx\\_config.py', reloading
2023-12-10 21:41:38,376 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\httpx\\_models.py', reloading
2023-12-10 21:41:38,382 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\httpx\\_status_codes.py', reloading
2023-12-10 21:41:38,387 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\httpx\\_transports\\base.py', reloading
2023-12-10 21:41:38,393 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\httpx\\_types.py', reloading
2023-12-10 21:41:38,399 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\httpx\\_urls.py', reloading
2023-12-10 21:41:38,416 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\httpx\\_decoders.py', reloading
2023-12-10 21:41:38,439 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\certifi\\__init__.py', reloading
2023-12-10 21:41:38,444 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\certifi\\core.py', reloading
2023-12-10 21:41:38,451 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\google\\oauth2\\service_account.py', reloading
2023-12-10 21:41:38,459 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\httpx\\_exceptions.py', reloading
2023-12-10 21:41:38,461 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\gspread\\auth.py', reloading
2023-12-10 21:41:38,462 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\gspread\\cell.py', reloading
2023-12-10 21:41:38,468 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\gspread\\client.py', reloading
2023-12-10 21:41:38,475 werkzeug     INFO      * Detected change in 'D:\\Anaconda\\Lib\\site-packages\\gspread\\spreadsheet.py', reloading
